Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,PAC,1.0,0.5,0,2611.306468371625,0.5490447801141556,0.0008766195907528773,0.3515363410845843,0.6422279093455393,1.4704841110773745,1.5826083299645066,1.549965718686336,1.5343527199094058
Persistence_P,PAC,1.0,0.5,0,1650.0017211650777,0.34692397968514993,-0.0002763530957618729,0.23906163856950854,0.8571568021524039,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,0.5,0,3244.0582522012387,0.682085106183661,0.0004974542015139326,0.429192073735459,0.4478360384278348,1.7953197188124723,1.966093859532817,1.9380375075335816,1.8998170286262903
BLEND_corre,PAC,1.0,1.0,0,2661.451941585646,0.5595882037405984,4.540001638211116e-05,0.363874566560734,0.6283552290811211,0.9667108674670876,1.110053427395935,1.1631344182051715,1.079966237689398
Persistence_P,PAC,1.0,1.0,0,2397.5890492308317,0.5041092526990629,-0.002691673893072259,0.37640475431308046,0.6983938017182258,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,1.0,0,3244.0582522012387,0.682085106183661,0.0004974542015139326,0.429192073735459,0.4478360384278348,1.1402408413217646,1.3530501623044875,1.4293762140342645,1.3075557392201722
BLEND_corre,PAC,1.0,3.0,0,2965.8922044142196,0.6234655713736987,-0.02922921734625765,0.4460050454802829,0.5384634641845284,0.5521651982514387,0.6028841606524263,0.6535268075473613,0.6028587221504088
Persistence_P,PAC,1.0,3.0,0,4919.505931628067,1.0341382508689558,-0.08224470955262754,0.8077384212055794,-0.2698088164181094,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,3.0,0,3244.4260851871327,0.6820166828620261,0.0004932302429671035,0.42918956163087557,0.4477049765696641,0.5313472163306213,0.6595024236739601,0.7379290346730712,0.6429262248925509
BLEND_corre,PAC,1.0,6.0,0,3596.4749976725248,0.7559360586619145,-0.18083997857377443,0.563706096395225,0.3213311352477418,0.511203099794463,0.5322963721688688,0.5574947728558693,0.533664748273067
Persistence_P,PAC,1.0,6.0,0,6756.527351517545,1.4201412938093385,-0.4077291436022947,1.102704769634362,-1.3952503538388221,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,6.0,0,3244.610718741432,0.6819783927887411,0.0004940042289992673,0.42918912004937054,0.44763133759579066,0.38921489402071086,0.48021869074690837,0.538525708802498,0.4693197645233724
BLEND_corre,PAC,1.0,10.0,0,3917.458535622595,0.8234029618741878,-0.41475601943652546,0.5918541144788335,0.19478352644838437,0.5508755256044042,0.5856624007227377,0.6136632027410219,0.5834003763560546
Persistence_P,PAC,1.0,10.0,0,6688.936374929052,1.4059344783924426,-0.8524654027893624,1.074388109418128,-1.347566830125361,1.0,1.0,1.0,1.0
Persistence_Pcyclic,PAC,1.0,10.0,0,3244.610718741432,0.6819783927887411,0.0004940042289992673,0.42918912004937054,0.44763133759579066,0.399473073358763,0.4850712485325212,0.5402874347378407,0.47494391887637494
