Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_lp,p_lp,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,1576.0825243771642,0.4721360057427255,-0.015859377435912984,0.2810742151119933,0.8064350171603545,0.9287752983192172,0.9416685862409182,0.9499500834017921,0.9401313226539759
ELM,1.0,0.5,27000,500.0,100.0,25.0,1.5,1572.114188844878,0.4709472392544981,-0.010410815585384585,0.2892244062234741,0.8074085242822411,0.9557066060448586,0.9392976082923529,0.9216003884852766,0.9388682009408292
Persistence_P,1.0,0.5,0,,,,,1673.7125432513221,0.5013823468694679,-0.0007549514156237795,0.30262886579848397,0.78171161492394,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,3670.4805017005033,1.099540142362954,-0.0036889476910256075,0.6672613692302175,-0.04981972612290542,2.2048834220412297,2.193017263627778,1.9896154715569634,2.129172052408657
BLEND_opti,1.0,1.0,0,,,,,2140.6619391534095,0.6412631077149782,-0.03678483743011601,0.3984014086987678,0.6429203824161127,0.813764168015981,0.8695458371014337,0.9042540756055679,0.8625213602409941
ELM,1.0,1.0,27000,500.0,100.0,25.0,1.25,2060.2790295542113,0.6171833623455903,-0.01804987595373457,0.399873300459268,0.6692339169013113,0.8167706151513089,0.8368939628668096,0.8518574887776056,0.8351740222652414
Persistence_P,1.0,1.0,0,,,,,2461.816097342432,0.737469010089889,-0.0054916295831735195,0.4895784606369445,0.5277411551992877,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,,,,,3670.4805017005033,1.099540142362954,-0.0036889476910256075,0.6672613692302175,-0.04981972612290542,1.3629304041728194,1.490964538603368,1.468002158524291,1.4406323671001593
BLEND_opti,1.0,3.0,0,,,,,2983.7587345159213,0.8938237111480073,-0.07554125549819471,0.5831196102763706,0.3062607077956768,0.6064204967947993,0.6910081180316532,0.7487584649768895,0.6820623599344473
ELM,1.0,3.0,27000,500.0,100.0,25.0,1.25,2779.6527426335865,0.8326811083559583,-0.016230191418817555,0.5987607966442341,0.3979258607770414,0.6226866895972747,0.6437392501778058,0.6684022991084937,0.6449427462945246
Persistence_P,1.0,3.0,0,,,,,4317.9792778921355,1.2935068168143629,-0.10729276219860683,0.9615763539629941,-0.4528808309954888,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,,,,,3670.4805017005033,1.099540142362954,-0.0036889476910256075,0.6672613692302175,-0.04981972612290542,0.693924477739286,0.8500458815291686,0.9376171669864448,0.8271958420849664
BLEND_opti,1.0,6.0,0,,,,,3263.1569193353894,0.9775210689653342,-0.17261238045984656,0.6344068670443517,0.1702546950817967,0.5800387886997568,0.6508233248013837,0.7014886942466707,0.6441169359159371
ELM,1.0,6.0,27000,500.0,100.0,25.0,1.25,2964.5421567450107,0.8880671355039828,-0.034667782100882186,0.6514281149680661,0.3151678392741135,0.5956013315105352,0.5912658295818684,0.5984155766192374,0.5950942459038803
Persistence_P,1.0,6.0,0,,,,,5013.890552142134,1.5019760843138974,-0.4260992439272847,1.0937317976035172,-0.958928502450551,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,3670.4805017005033,1.099540142362954,-0.0036889476910256075,0.6672613692302175,-0.04981972612290542,0.6100776906114078,0.7320623502905,0.8008697807018672,0.7143366072012584
BLEND_opti,1.0,10.0,0,,,,,3389.6640671618993,1.0152690854889856,-0.25462793495205804,0.6439622271302512,0.10473153743087149,0.6019609504249473,0.6659043004658081,0.7151686360647952,0.6610112956518502
ELM,1.0,10.0,27000,500.0,100.0,25.0,1.25,3007.7276738812475,0.9008718458104001,-0.02844262564762165,0.6613580874240481,0.2951170750967259,0.6182221970551717,0.5908723557802291,0.5916595902679551,0.600251381034452
Persistence_P,1.0,10.0,0,,,,,5090.317129339439,1.5246471374021655,-0.7936837569481857,1.0697740886275988,-1.018968981701391,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,,,,,3670.7461041763972,1.0994585204927998,-0.0037573145442782755,0.667211667730647,-0.04990175075578884,0.6236939881266009,0.721123264210602,0.7816585330104359,0.7088252617825463
